image,race_scores,obese_scores
55.png,"[0.05362122 0.28062564 0.17055827 0.00815653 0.09575573 0.3791282
 0.01215445]","[0.6119216680526733, 0.3772698640823364, 0.010808523744344711]"
56.png,"[8.8701852e-02 5.4216599e-01 3.3255190e-01 1.0648291e-04 5.4354162e-04
 1.7138528e-02 1.8791737e-02]","[0.07396847009658813, 0.2617998421192169, 0.6642316579818726]"
57.png,"[4.4327979e-03 1.6719512e-04 4.6419531e-02 5.3119141e-01 4.1723648e-01
 3.7717086e-04 1.7547664e-04]","[0.00028157790075056255, 0.2699922025203705, 0.7297261357307434]"
58.png,"[0.01637859 0.05478137 0.44636855 0.18630396 0.25776154 0.02183318
 0.01657287]","[0.0002571857185102999, 1.5923385490168585e-06, 0.99974125623703]"
59.png,"[9.9954897e-01 5.5614885e-07 2.7350994e-04 2.6769706e-06 2.6581401e-06
 9.1083973e-07 1.7072073e-04]","[0.001006165985018015, 0.9840967655181885, 0.014897039160132408]"
60.png,"[0.02278455 0.08820292 0.6660183  0.00447542 0.02962014 0.18363658
 0.00526203]","[0.8355368375778198, 2.1623418433591723e-07, 0.16446290910243988]"
61.png,"[0.04101422 0.11762974 0.42492104 0.04141706 0.09467488 0.27113485
 0.00920825]","[0.10110493004322052, 0.8974598050117493, 0.0014352386351674795]"
62.png,"[9.9966872e-01 3.9029879e-07 9.9823861e-05 3.1831128e-06 2.5669974e-06
 1.3885782e-06 2.2397059e-04]","[0.23056794703006744, 2.1960280260913123e-09, 0.769432008266449]"
63.png,"[5.5286622e-01 5.3812932e-05 1.7460907e-01 2.6676729e-02 1.2295181e-02
 3.0278682e-03 2.3047125e-01]","[0.007421319838613272, 0.004119471181184053, 0.9884591698646545]"
64.png,"[0.01991764 0.00485925 0.5263229  0.0034257  0.00417879 0.39091763
 0.05037811]","[0.002244720933958888, 0.9106140732765198, 0.08714118599891663]"
65.png,"[9.1414022e-01 8.0457234e-05 6.7703068e-02 1.3512892e-04 4.9616763e-04
 2.4758626e-03 1.4969090e-02]","[0.9999922513961792, 3.0886371238381116e-10, 7.784022272971924e-06]"
66.png,"[1.3147874e-01 2.1056348e-04 6.4754862e-01 4.6691816e-02 1.1795656e-01
 2.2938289e-02 3.3175383e-02]","[0.0003137303574476391, 0.24881260097026825, 0.7508737444877625]"
67.png,"[0.6555773  0.00198256 0.01719011 0.03177819 0.00923584 0.00210728
 0.2821288 ]","[0.08189282566308975, 0.9178198575973511, 0.00028735597152262926]"
68.png,"[2.5881772e-04 6.8148423e-05 1.2767193e-03 6.2089831e-01 3.7711439e-01
 2.7557055e-04 1.0805609e-04]","[0.989520788192749, 0.010335749015212059, 0.00014342035865411162]"
